listing_id,listing_type,room_type,latitude,longitude,guests,bedrooms,superhost,num_reviews,rating_overall,ttm_revenue_native,ttm_avg_rate_native,ttm_occupancy,ttm_reserved_days,ttm_revpar_native,currency
6881387,Entire rental unit,entire_home,64.1461,-21.9422,4.0,2.0,False,372,4.77,14139312.0,45036.2,0.753,275,34442.7,ISK
6973542,Entire townhouse,entire_home,64.1077,-21.8377,6.0,3.0,False,38,4.76,2978404.0,67006.4,0.123,45,8038.0,ISK
7053698,Entire rental unit,entire_home,64.1486,-21.9606,3.0,1.0,True,55,4.93,333520.0,23055.3,0.038,14,873.3,ISK
7202908,Entire condo,entire_home,64.1292,-21.8858,3.0,1.0,False,142,4.92,354584.0,21325.2,0.044,16,867.9,ISK
7292848,Entire rental unit,entire_home,64.1496,-21.9449,2.0,1.0,True,93,4.82,379077.0,22575.4,0.041,15,967.4,ISK
7380130,Entire rental unit,entire_home,64.1497,-21.942,3.0,1.0,True,294,4.87,9703580.0,33137.5,0.734,268,25361.5,ISK
7435479,Entire rental unit,entire_home,64.1495,-21.9448,2.0,1.0,True,348,4.81,1076655.0,20227.0,0.134,49,2683.0,ISK
7525781,Entire rental unit,entire_home,64.1331,-21.9141,4.0,3.0,False,29,4.86,2398652.0,42635.8,0.164,60,6455.6,ISK
7547261,Private room in rental unit,private_room,64.1574,-21.756,,,True,69,4.96,180311.0,12492.6,0.041,15,490.2,ISK
7547852,Private room in rental unit,private_room,64.1883,-21.7876,,,True,76,4.97,1840639.0,12867.3,0.397,145,4912.1,ISK
7547865,Private room in rental unit,private_room,64.1576,-21.755,,,True,145,4.91,2163797.0,14545.4,0.392,143,5775.8,ISK
7581843,Entire condo,entire_home,64.142,-21.7897,4.0,1.0,True,52,4.98,2525097.0,14584.3,0.488,178,6918.1,ISK
7974581,Entire rental unit,entire_home,64.1508,-21.9568,4.0,2.0,True,20,4.8,4469892.0,30046.8,0.4,146,12047.6,ISK
8000919,Entire condo,entire_home,64.1445,-21.9727,2.0,1.0,True,68,4.94,3019293.0,25158.2,0.315,115,7909.5,ISK
8005981,Entire rental unit,entire_home,64.1487,-21.9769,5.0,3.0,False,81,4.78,3026247.0,34137.8,0.236,86,8143.3,ISK
8011067,Entire guesthouse,entire_home,64.1419,-21.8856,2.0,,False,173,4.77,1722059.0,15960.6,0.244,89,4142.4,ISK
8249967,Entire rental unit,entire_home,64.1434,-21.9635,6.0,4.0,True,357,4.88,12183968.0,35341.0,0.825,301,29354.0,ISK
8299284,Private room in townhouse,private_room,64.1462,-21.8826,,,True,410,4.83,2611002.0,12530.9,0.556,203,7061.4,ISK
8485555,Entire rental unit,entire_home,64.1502,-21.9442,6.0,3.0,True,421,4.98,24970201.0,107586.6,0.595,217,63272.1,ISK
